Applicant ID,Applicant Name,Job Position,Experience (Years),Skills,Education Level,Application Status,Location,Expected Salary,Resume Score
2280,Applicant_2280,HR Manager,5,"Project Management, JavaScript, Excel, HTML, Java, Angular, Machine Learning",PhD,Rejected,Dallas,144335,98
3617,Applicant_3617,Software Developer,4,"JavaScript, AWS, Deep Learning",PhD,Under Review,Seattle,135074,93
7062,Applicant_7062,Data Analyst,4,"Git, Angular, Machine Learning, C++, Excel, JavaScript",Master's,Offer Made,Seattle,145374,83
3684,Applicant_3684,HR Manager,8,"AWS, C++, HTML, Excel",PhD,Offer Made,New York,91637,92
7365,Applicant_7365,HR Manager,6,"Deep Learning, Cloud Computing, HTML, AWS, Angular",Associate's,Interview,Boston,149280,86
5988,Applicant_5988,Product Manager,1,"Deep Learning, Machine Learning, Git, Agile",PhD,Offer Made,Boston,99812,62
4285,Applicant_4285,Web Developer,7,"Data Science, Tableau, HTML",PhD,Rejected,Chicago,131978,79
5879,Applicant_5879,Data Analyst,2,"Agile, SQL, Tableau, Power BI, C++, Java, Deep Learning",Associate's,Offer Made,Austin,95314,71
4665,Applicant_4665,Data Analyst,10,"Angular, Deep Learning, C++, Python",PhD,Offer Made,Dallas,82006,63
3582,Applicant_3582,Data Scientist,5,"Angular, SQL, C++, Docker, Excel",Associate's,Under Review,San Francisco,123074,71
3892,Applicant_3892,Software Developer,8,"C++, Docker, Cloud Computing, Data Science, Communication",Bachelor's,Rejected,Austin,119850,59
8416,Applicant_8416,Data Scientist,5,"JavaScript, Agile, SQL, AWS, Python, Java",PhD,Not Shortlisted,Austin,92895,78
6990,Applicant_6990,Data Analyst,7,"Data Science, Communication, Git, Project Management, Agile, React",PhD,Rejected,Chicago,75528,64
1852,Applicant_1852,Software Developer,10,"Machine Learning, C++, Docker",Associate's,Not Shortlisted,Boston,116891,80
5215,Applicant_5215,Data Analyst,9,"Git, Tableau, JavaScript, Project Management",Master's,Not Shortlisted,New York,129276,59
3120,Applicant_3120,Product Manager,2,"Cloud Computing, C++, HTML, Power BI, Java",Associate's,Not Shortlisted,San Francisco,95622,96
6759,Applicant_6759,Software Developer,5,"SQL, Excel, React",PhD,Rejected,Los Angeles,141643,50
8487,Applicant_8487,Data Analyst,3,"SQL, Tableau, React, CSS, Data Science",PhD,Under Review,San Francisco,129605,93
6882,Applicant_6882,Software Developer,7,"Excel, Agile, Docker, HTML, Git",Master's,Rejected,New York,100408,100
8364,Applicant_8364,Data Scientist,3,"Machine Learning, Tableau, HTML, CSS, Docker",Master's,Interview,Chicago,111351,62
4465,Applicant_4465,Data Analyst,0,"AWS, Docker, React, CSS, HTML, Excel, Communication",Master's,Under Review,Boston,100277,72
9595,Applicant_9595,Data Analyst,4,"Excel, Project Management, CSS",Master's,Under Review,Seattle,131110,66
8976,Applicant_8976,UX Designer,0,"Project Management, Machine Learning, AWS",Master's,Interview,Dallas,76657,71
3849,Applicant_3849,Data Scientist,1,"Docker, Deep Learning, Git, Angular, Tableau, Excel",Master's,Not Shortlisted,Boston,66260,86
5368,Applicant_5368,HR Manager,10,"Tableau, Project Management, Docker, React, Cloud Computing, Machine Learning, Power BI",Bachelor's,Under Review,Los Angeles,82968,72
2677,Applicant_2677,Data Scientist,10,"Machine Learning, JavaScript, Agile, React, CSS, Angular",PhD,Offer Made,Seattle,109572,50
5141,Applicant_5141,UX Designer,8,"SQL, Docker, Python, HTML",Bachelor's,Offer Made,Seattle,84172,99
8431,Applicant_8431,HR Manager,8,"JavaScript, HTML, Cloud Computing",Master's,Interview,New York,114206,50
3161,Applicant_3161,Data Analyst,1,"C++, Docker, Power BI, SQL, HTML, Deep Learning, Tableau",PhD,Rejected,New York,123167,92
7399,Applicant_7399,Software Developer,10,"Deep Learning, Docker, Python",Master's,Offer Made,Seattle,105144,85
9454,Applicant_9454,Data Scientist,10,"Project Management, React, HTML, Git, Docker",Associate's,Not Shortlisted,New York,116300,51
4760,Applicant_4760,Data Scientist,10,"Java, Angular, Project Management, Git",PhD,Interview,Chicago,98720,75
7711,Applicant_7711,Software Developer,8,"React, Python, Git",Bachelor's,Rejected,New York,63122,78
3360,Applicant_3360,Data Analyst,3,"Deep Learning, Machine Learning, Angular, CSS",Associate's,Not Shortlisted,Dallas,72993,86
5955,Applicant_5955,Data Analyst,0,"Machine Learning, Tableau, Cloud Computing, Deep Learning, JavaScript, React",PhD,Rejected,Los Angeles,108597,51
8927,Applicant_8927,Data Scientist,6,"Data Science, C++, Docker, Excel, Agile, SQL, Git",PhD,Not Shortlisted,San Francisco,101065,78
9742,Applicant_9742,Data Analyst,5,"AWS, C++, Git, Data Science, Power BI, Python, React",Associate's,Under Review,Austin,106235,97
8952,Applicant_8952,Product Manager,3,"Data Science, Project Management, Git, C++",Master's,Under Review,New York,96235,100
8730,Applicant_8730,Software Developer,0,"React, CSS, Data Science, Power BI, Cloud Computing, C++",Bachelor's,Not Shortlisted,Boston,89891,86
7741,Applicant_7741,Product Manager,10,"Communication, Angular, Project Management, Power BI, Tableau, Data Science, SQL",PhD,Under Review,Chicago,97704,58
2263,Applicant_2263,Data Scientist,6,"Power BI, AWS, Project Management, SQL, Data Science",PhD,Under Review,Boston,117182,81
7363,Applicant_7363,Web Developer,9,"Agile, Deep Learning, Angular, Communication, Java, Machine Learning, Git",Master's,Interview,New York,92847,66
7618,Applicant_7618,HR Manager,6,"Java, Power BI, Project Management, Docker, AWS",Bachelor's,Offer Made,Dallas,54563,78
9131,Applicant_9131,HR Manager,0,"Tableau, Data Science, Agile, Machine Learning, JavaScript, HTML, AWS",Master's,Rejected,Los Angeles,93726,81
5625,Applicant_5625,Data Analyst,3,"Python, Agile, React, AWS, Communication, HTML, Docker",PhD,Under Review,San Francisco,73336,97
9976,Applicant_9976,Data Analyst,6,"Data Science, Excel, Tableau",Associate's,Rejected,New York,87059,59
1932,Applicant_1932,Web Developer,9,"Project Management, C++, Java, Agile",PhD,Rejected,Seattle,54286,89
4580,Applicant_4580,Web Developer,3,"Deep Learning, SQL, Communication",Bachelor's,Interview,San Francisco,107304,85
3398,Applicant_3398,Software Developer,10,"Data Science, Tableau, CSS",PhD,Offer Made,Seattle,80169,53
6880,Applicant_6880,HR Manager,3,"Agile, JavaScript, C++, Angular, Git, Machine Learning",Bachelor's,Not Shortlisted,Seattle,99460,79
5327,Applicant_5327,Data Scientist,4,"React, C++, AWS",Bachelor's,Under Review,Boston,91303,58
2319,Applicant_2319,UX Designer,2,"SQL, Docker, React, Project Management, Agile, Git",Master's,Offer Made,Seattle,66461,85
7633,Applicant_7633,Data Scientist,7,"CSS, HTML, Cloud Computing, Agile, Python, Excel, SQL",Bachelor's,Not Shortlisted,Chicago,136000,52
9300,Applicant_9300,Web Developer,2,"AWS, React, Git, Deep Learning, Tableau, Data Science, Excel",PhD,Under Review,Seattle,145780,67
9009,Applicant_9009,Software Developer,0,"HTML, JavaScript, Python, Cloud Computing, Project Management, Agile, AWS",PhD,Offer Made,Austin,68140,82
1282,Applicant_1282,Web Developer,4,"Docker, Cloud Computing, Git, Excel, JavaScript",PhD,Not Shortlisted,Seattle,121041,62
7781,Applicant_7781,Software Developer,8,"Python, AWS, JavaScript, Java, Tableau, Cloud Computing, React",Associate's,Under Review,Seattle,141513,80
2939,Applicant_2939,HR Manager,5,"HTML, JavaScript, Agile, Cloud Computing, Git, Machine Learning",Bachelor's,Not Shortlisted,San Francisco,97557,74
4567,Applicant_4567,UX Designer,8,"HTML, Agile, Angular",Bachelor's,Interview,Seattle,77480,79
3614,Applicant_3614,Data Scientist,9,"Excel, Communication, Angular, Python, Tableau, Project Management, C++",Associate's,Offer Made,Chicago,103267,88
3157,Applicant_3157,UX Designer,6,"React, C++, Deep Learning, Power BI, Agile, Data Science, Java",Associate's,Under Review,Chicago,106734,86
9663,Applicant_9663,Product Manager,5,"JavaScript, Cloud Computing, Machine Learning, HTML, Project Management, Git, Excel",Bachelor's,Under Review,Boston,103197,51
7227,Applicant_7227,Web Developer,5,"Communication, Agile, Java, Machine Learning, CSS, Project Management",Associate's,Offer Made,Los Angeles,58813,56
9340,Applicant_9340,Software Developer,5,"Python, HTML, SQL, Data Science",Bachelor's,Offer Made,New York,135087,100
9451,Applicant_9451,UX Designer,3,"Angular, JavaScript, Python, Excel",Master's,Not Shortlisted,Los Angeles,99482,73
6540,Applicant_6540,Data Scientist,4,"Project Management, Excel, Deep Learning",Associate's,Rejected,San Francisco,116049,92
7986,Applicant_7986,Web Developer,5,"Machine Learning, Excel, Python, React",Associate's,Rejected,Los Angeles,69203,85
1697,Applicant_1697,Software Developer,6,"Power BI, Cloud Computing, Machine Learning, Deep Learning, Docker, Java, CSS",Bachelor's,Offer Made,San Francisco,135751,73
6615,Applicant_6615,HR Manager,3,"C++, Deep Learning, Angular, Project Management",Bachelor's,Rejected,Seattle,83623,60
9740,Applicant_9740,HR Manager,1,"Git, Tableau, CSS, Machine Learning, Java, AWS, JavaScript",Associate's,Rejected,Seattle,81114,72
7366,Applicant_7366,Web Developer,8,"Git, AWS, Power BI, HTML, Excel, Angular",Associate's,Not Shortlisted,Seattle,75548,73
4274,Applicant_4274,HR Manager,7,"Data Science, Cloud Computing, SQL, Excel, C++, Java, Docker",Bachelor's,Not Shortlisted,Chicago,76753,91
9418,Applicant_9418,UX Designer,3,"JavaScript, Communication, Deep Learning, Excel, Java, Docker",Bachelor's,Offer Made,Chicago,121369,91
2843,Applicant_2843,Product Manager,7,"AWS, CSS, Project Management, Deep Learning",Master's,Not Shortlisted,Boston,138030,76
7065,Applicant_7065,Web Developer,3,"C++, HTML, CSS",Master's,Under Review,Los Angeles,108655,96
3089,Applicant_3089,Web Developer,10,"Docker, Python, AWS, Cloud Computing, Communication",PhD,Interview,Boston,145563,76
2115,Applicant_2115,Data Analyst,10,"Tableau, JavaScript, Communication, Agile, Data Science",Bachelor's,Interview,New York,138574,66
8384,Applicant_8384,Software Developer,4,"CSS, Angular, Java, Cloud Computing, Communication, Power BI",PhD,Rejected,Dallas,122291,97
7948,Applicant_7948,Data Scientist,1,"Power BI, AWS, C++, Cloud Computing",PhD,Under Review,New York,81940,62
4964,Applicant_4964,Data Analyst,5,"Cloud Computing, Docker, Angular, CSS, Tableau, Data Science, Python",Associate's,Offer Made,Seattle,71632,74
7303,Applicant_7303,UX Designer,6,"Cloud Computing, Java, Machine Learning, Project Management, Agile",Associate's,Not Shortlisted,Boston,64224,61
6645,Applicant_6645,UX Designer,2,"Angular, Deep Learning, Python, Data Science",Associate's,Offer Made,Seattle,95868,82
6713,Applicant_6713,Product Manager,6,"Git, SQL, JavaScript, Python, Docker, Excel",PhD,Rejected,Chicago,111773,73
2677,Applicant_2677,HR Manager,3,"Communication, Project Management, JavaScript, SQL, Agile, Power BI, HTML",Associate's,Under Review,Dallas,148813,69
7492,Applicant_7492,Web Developer,4,"CSS, React, Angular, Project Management",Master's,Interview,San Francisco,134970,91
7201,Applicant_7201,HR Manager,0,"Deep Learning, Power BI, Tableau",Associate's,Offer Made,Dallas,126970,56
8730,Applicant_8730,Product Manager,2,"CSS, React, Communication, HTML, Angular, Docker, Tableau",Bachelor's,Under Review,Dallas,120654,59
7415,Applicant_7415,Data Analyst,6,"Data Science, Agile, SQL",Master's,Not Shortlisted,San Francisco,67430,50
5494,Applicant_5494,Data Analyst,8,"Angular, Communication, Tableau, JavaScript, Deep Learning, Project Management",Bachelor's,Not Shortlisted,New York,114591,66
3027,Applicant_3027,Data Scientist,6,"Docker, SQL, JavaScript",Master's,Rejected,Dallas,93009,70
6922,Applicant_6922,Product Manager,5,"AWS, Machine Learning, C++, Angular, Tableau",Master's,Offer Made,New York,91906,59
3683,Applicant_3683,Software Developer,6,"C++, JavaScript, Cloud Computing, Docker, Power BI, SQL, Excel",PhD,Offer Made,Austin,147886,82
1540,Applicant_1540,Software Developer,3,"C++, Communication, Project Management",Associate's,Offer Made,Chicago,70543,60
4653,Applicant_4653,Software Developer,10,"Power BI, Project Management, React, Excel, JavaScript, Cloud Computing, AWS",Bachelor's,Not Shortlisted,Austin,135109,51
6280,Applicant_6280,Software Developer,6,"Docker, JavaScript, Excel, Agile",Master's,Under Review,Boston,122015,60
2291,Applicant_2291,UX Designer,5,"Excel, Agile, Power BI",Master's,Offer Made,San Francisco,86132,93
9814,Applicant_9814,Data Scientist,0,"Communication, SQL, CSS, Machine Learning, Java",Master's,Interview,Seattle,111209,91
1312,Applicant_1312,Product Manager,3,"Tableau, Angular, C++, HTML, SQL, Communication",Associate's,Under Review,Boston,60868,62
1833,Applicant_1833,UX Designer,9,"CSS, Project Management, Git, Power BI, HTML, Java",PhD,Rejected,San Francisco,128695,96
1067,Applicant_1067,Product Manager,10,"Deep Learning, Java, Git, HTML, Communication",Master's,Under Review,Austin,79015,70
5893,Applicant_5893,Product Manager,8,"CSS, Project Management, HTML",Master's,Not Shortlisted,Seattle,63182,86
6264,Applicant_6264,Data Scientist,3,"Python, Angular, React, Git, Project Management, Tableau, Communication",Bachelor's,Interview,San Francisco,146257,87
6437,Applicant_6437,Software Developer,8,"Cloud Computing, AWS, Agile",Associate's,Interview,Seattle,80992,86
8373,Applicant_8373,Software Developer,6,"Project Management, HTML, Docker, Angular, Machine Learning",Master's,Interview,Austin,146441,59
2534,Applicant_2534,Product Manager,2,"Machine Learning, Agile, Tableau, Java, JavaScript, SQL",Associate's,Offer Made,Los Angeles,146450,74
4770,Applicant_4770,Data Scientist,2,"Communication, Machine Learning, AWS, Docker, Deep Learning, CSS, HTML",PhD,Interview,Chicago,75015,57
4986,Applicant_4986,Web Developer,1,"Docker, SQL, Angular, Java, Git, Python",PhD,Offer Made,Chicago,106688,93
6134,Applicant_6134,HR Manager,5,"Git, Power BI, Machine Learning, Java, React",Master's,Not Shortlisted,San Francisco,122463,58
6388,Applicant_6388,Data Scientist,5,"Project Management, Machine Learning, Cloud Computing, Tableau",Associate's,Under Review,Chicago,133673,74
6149,Applicant_6149,Data Scientist,7,"C++, Excel, Java, HTML, JavaScript",PhD,Not Shortlisted,Los Angeles,144842,98
7777,Applicant_7777,Web Developer,5,"Machine Learning, Python, Data Science, React, Cloud Computing",PhD,Interview,Austin,73637,93
5787,Applicant_5787,HR Manager,8,"Excel, HTML, Deep Learning, Project Management",PhD,Offer Made,Boston,73269,61
7863,Applicant_7863,HR Manager,2,"Python, Cloud Computing, Excel, SQL, CSS",Master's,Interview,Seattle,62341,60
9832,Applicant_9832,Software Developer,9,"HTML, Java, Agile, Data Science",Bachelor's,Offer Made,Austin,74833,82
9099,Applicant_9099,Web Developer,5,"JavaScript, C++, Tableau, Deep Learning, Python, React",Associate's,Rejected,New York,84855,64
1943,Applicant_1943,Software Developer,4,"Deep Learning, Angular, AWS, Java",Master's,Rejected,Boston,96583,65
3031,Applicant_3031,Web Developer,8,"Cloud Computing, Angular, HTML, React, Docker",Master's,Under Review,Austin,135325,66
8485,Applicant_8485,Product Manager,8,"Agile, Project Management, Excel, Power BI, AWS, SQL",Associate's,Under Review,Chicago,76405,92
7633,Applicant_7633,Software Developer,1,"Cloud Computing, React, HTML",Bachelor's,Under Review,Chicago,131566,53
8963,Applicant_8963,Data Analyst,9,"React, Docker, AWS, JavaScript, Communication",Master's,Offer Made,Austin,119842,90
3748,Applicant_3748,Software Developer,8,"Tableau, Machine Learning, Data Science, Excel",Associate's,Rejected,Seattle,68778,81
4107,Applicant_4107,Web Developer,8,"Cloud Computing, React, C++, Agile, Git, JavaScript, Angular",PhD,Under Review,New York,122222,81
4565,Applicant_4565,Product Manager,6,"Cloud Computing, HTML, AWS, Data Science",Master's,Interview,Chicago,140875,67
7867,Applicant_7867,UX Designer,4,"Power BI, CSS, Git, React, Project Management, Tableau, Angular",Master's,Offer Made,Dallas,52800,57
5093,Applicant_5093,HR Manager,2,"Angular, AWS, CSS",Bachelor's,Not Shortlisted,San Francisco,110728,53
1975,Applicant_1975,UX Designer,9,"Project Management, Tableau, Communication, React",Master's,Interview,Austin,111109,54
3399,Applicant_3399,Software Developer,3,"Angular, Data Science, Excel, Python",Master's,Interview,San Francisco,130679,85
8363,Applicant_8363,Data Analyst,0,"Agile, Git, AWS",PhD,Not Shortlisted,Chicago,121699,66
5082,Applicant_5082,Software Developer,9,"HTML, Communication, Cloud Computing",Bachelor's,Interview,San Francisco,61251,96
8889,Applicant_8889,Software Developer,9,"Agile, AWS, Angular, Git",Associate's,Offer Made,Seattle,50074,70
4612,Applicant_4612,Software Developer,0,"Java, JavaScript, Power BI",Bachelor's,Offer Made,New York,85141,97
7531,Applicant_7531,Data Analyst,10,"Python, HTML, Git",Master's,Interview,Seattle,68869,87
1370,Applicant_1370,Web Developer,5,"React, AWS, HTML, Tableau, Project Management, Angular",Bachelor's,Under Review,New York,69571,53
3515,Applicant_3515,Software Developer,6,"Excel, HTML, Angular, CSS, React",Master's,Interview,Chicago,130427,50
7548,Applicant_7548,Data Analyst,2,"AWS, Tableau, Project Management, CSS",PhD,Interview,Austin,64353,65
7186,Applicant_7186,HR Manager,10,"Docker, Data Science, CSS",Bachelor's,Rejected,Dallas,57615,88
9817,Applicant_9817,UX Designer,2,"Tableau, Excel, Machine Learning, Deep Learning, Java",Associate's,Rejected,Dallas,61986,55
7643,Applicant_7643,Software Developer,1,"Project Management, Tableau, Excel, AWS, Git, Deep Learning, CSS",Master's,Offer Made,Chicago,53020,71
5127,Applicant_5127,Software Developer,2,"SQL, HTML, Excel, Data Science",Master's,Offer Made,Seattle,88740,79
1113,Applicant_1113,Data Scientist,9,"Agile, Deep Learning, CSS, Machine Learning, C++, AWS, Angular",Master's,Under Review,Chicago,88225,92
2146,Applicant_2146,Data Scientist,8,"SQL, Angular, Agile, Power BI, Cloud Computing, Git, Data Science",Master's,Under Review,New York,72508,82
5820,Applicant_5820,Web Developer,0,"AWS, Machine Learning, Cloud Computing, React, CSS, Java, Project Management",Associate's,Under Review,New York,70791,63
2927,Applicant_2927,UX Designer,1,"Git, Tableau, Deep Learning, Project Management, Angular",Master's,Offer Made,Dallas,143856,95
8485,Applicant_8485,Product Manager,1,"Docker, SQL, Python, React",PhD,Offer Made,Los Angeles,98645,59
1915,Applicant_1915,UX Designer,2,"Git, Angular, HTML, Data Science, Excel",Bachelor's,Rejected,Seattle,86209,86
4945,Applicant_4945,Data Analyst,10,"AWS, Excel, Git, Python",PhD,Rejected,Dallas,148764,63
2663,Applicant_2663,Web Developer,10,"Java, Deep Learning, HTML",Bachelor's,Offer Made,Chicago,102416,94
9882,Applicant_9882,UX Designer,4,"HTML, JavaScript, SQL, Java, React",Bachelor's,Interview,Seattle,59719,91
1981,Applicant_1981,HR Manager,6,"Docker, Cloud Computing, Communication",Bachelor's,Under Review,San Francisco,128385,67
3779,Applicant_3779,HR Manager,7,"JavaScript, Data Science, Java, Tableau, React",Bachelor's,Rejected,Austin,117027,82
1916,Applicant_1916,Data Scientist,4,"AWS, Agile, Machine Learning",Master's,Under Review,Los Angeles,140681,86
3203,Applicant_3203,Data Scientist,2,"HTML, Git, AWS, Python",Master's,Offer Made,San Francisco,104728,90
8254,Applicant_8254,UX Designer,10,"Project Management, Agile, HTML, Angular, Deep Learning, CSS, C++",Associate's,Under Review,Chicago,55550,100
1272,Applicant_1272,Software Developer,4,"Power BI, Machine Learning, Cloud Computing, Tableau",PhD,Under Review,San Francisco,142413,61
9169,Applicant_9169,HR Manager,8,"Machine Learning, Communication, AWS",PhD,Not Shortlisted,Dallas,105066,65
1299,Applicant_1299,HR Manager,8,"Docker, Cloud Computing, Deep Learning, Project Management, HTML",Associate's,Rejected,San Francisco,137232,96
3566,Applicant_3566,Data Scientist,5,"Machine Learning, C++, Deep Learning, Data Science, Java, Cloud Computing, Git",Bachelor's,Rejected,San Francisco,141654,88
9041,Applicant_9041,Software Developer,8,"Cloud Computing, HTML, React, Git",Bachelor's,Offer Made,New York,72968,79
9391,Applicant_9391,Web Developer,2,"Communication, Machine Learning, SQL, Java, React",PhD,Not Shortlisted,Los Angeles,144978,97
2044,Applicant_2044,Software Developer,4,"Communication, Agile, Power BI, AWS, Tableau, Java, C++",Master's,Not Shortlisted,Los Angeles,54867,54
3965,Applicant_3965,HR Manager,8,"Cloud Computing, SQL, JavaScript, Data Science, Project Management, Angular, C++",Master's,Rejected,Dallas,87714,72
7095,Applicant_7095,UX Designer,0,"Java, Project Management, Python, Deep Learning, HTML, Data Science",Associate's,Offer Made,New York,143843,81
1220,Applicant_1220,Web Developer,6,"Python, CSS, Cloud Computing, HTML, React",Master's,Not Shortlisted,Seattle,81889,75
3422,Applicant_3422,Data Scientist,0,"Docker, React, Data Science, Angular, HTML, AWS",Associate's,Not Shortlisted,Dallas,77203,80
4780,Applicant_4780,HR Manager,8,"Agile, AWS, Communication, Docker, C++",Bachelor's,Offer Made,Chicago,144550,58
1089,Applicant_1089,Web Developer,7,"Communication, Java, Machine Learning",Bachelor's,Offer Made,Dallas,73515,90
5225,Applicant_5225,HR Manager,1,"Communication, Data Science, Cloud Computing, Machine Learning, Python",Bachelor's,Not Shortlisted,Los Angeles,87793,71
8204,Applicant_8204,Software Developer,4,"Deep Learning, Data Science, CSS",PhD,Not Shortlisted,San Francisco,51278,67
1560,Applicant_1560,Software Developer,6,"Machine Learning, Project Management, React, Power BI, Git, Communication, Angular",PhD,Rejected,Chicago,139858,90
7785,Applicant_7785,Software Developer,10,"Git, Deep Learning, SQL, Angular",Bachelor's,Not Shortlisted,Seattle,141932,84
8523,Applicant_8523,Web Developer,5,"Project Management, React, Git, C++, SQL, Agile, Communication",Associate's,Interview,Los Angeles,126901,63
8909,Applicant_8909,Product Manager,4,"Deep Learning, Tableau, React, SQL, Project Management, AWS, Data Science",Associate's,Offer Made,Chicago,72508,95
6663,Applicant_6663,Software Developer,0,"Tableau, HTML, Cloud Computing, Communication, Python, Machine Learning",Master's,Interview,San Francisco,109382,72
5045,Applicant_5045,UX Designer,0,"Docker, Project Management, Deep Learning, Java, Cloud Computing, Angular",Bachelor's,Rejected,San Francisco,123866,92
8546,Applicant_8546,Data Analyst,0,"Data Science, Cloud Computing, Docker, JavaScript, CSS, Communication, Tableau",Bachelor's,Not Shortlisted,Dallas,107566,65
1017,Applicant_1017,Data Analyst,4,"Excel, SQL, HTML",PhD,Under Review,Chicago,66660,62
5047,Applicant_5047,HR Manager,9,"HTML, C++, Java, Docker, Angular",Associate's,Rejected,Dallas,104228,61
1708,Applicant_1708,HR Manager,10,"Agile, Power BI, SQL, Project Management, Data Science, Angular, Cloud Computing",Associate's,Under Review,Boston,93242,87
3338,Applicant_3338,Software Developer,5,"React, CSS, Communication, Git",Master's,Not Shortlisted,Chicago,69055,82
2181,Applicant_2181,Data Analyst,7,"Cloud Computing, Java, AWS",Associate's,Not Shortlisted,Seattle,59517,65
3770,Applicant_3770,UX Designer,10,"CSS, Power BI, Tableau, Angular, Git",Master's,Offer Made,Seattle,106987,80
2322,Applicant_2322,Software Developer,4,"HTML, Data Science, Git, Tableau",Bachelor's,Rejected,New York,107803,69
9831,Applicant_9831,Product Manager,8,"Cloud Computing, Power BI, Java, React, Docker, Project Management, Git",Associate's,Under Review,Los Angeles,135830,93
2925,Applicant_2925,Software Developer,6,"React, Agile, C++, Python",Bachelor's,Offer Made,Dallas,75980,82
2184,Applicant_2184,HR Manager,4,"Agile, AWS, Docker",Associate's,Interview,Chicago,131411,91
3854,Applicant_3854,Product Manager,0,"Cloud Computing, Power BI, Communication, CSS",Associate's,Under Review,Austin,75605,69
9416,Applicant_9416,UX Designer,3,"Docker, Machine Learning, Power BI, Project Management, Agile, HTML, SQL",Associate's,Not Shortlisted,Boston,57218,78
6479,Applicant_6479,Data Analyst,1,"JavaScript, Git, Python, SQL",Master's,Under Review,Boston,133000,70
6340,Applicant_6340,Software Developer,6,"Agile, Excel, JavaScript, Data Science, AWS, Deep Learning, Python",PhD,Interview,New York,116845,64
